Real_Estate_Id,Deeded_Acreage,Total_Sale_Price,Total_Sale_Date,Month_Year_of_Sale,Year_of_Sale,Year_Built,Year_Remodeled,Heated_Area,Num_Stories,Design_Style,Bath,Utilities,Physical_City,Physical_Zip
179,0.57,212500,10/17/03,3-Oct,2003,1971,1971,2340,Other,Conventional,2½ Bath,ALL,Raleigh,27607
180,0.39,490000,12/17/14,14-Dec,2014,2014,2014,3209,Other,Conventional,3½ Bath,ALL,Raleigh,27607
181,0.35,312000,7/2/10,10-Jul,2010,1971,1971,2166,One Story,Split level,2½ Bath,ALL,Raleigh,27607
182,0.3,210000,1/31/05,5-Jan,2005,1971,1971,2166,One Story,Split level,3 Bath,ALL,Raleigh,27607
183,0.36,157500,7/8/93,Jul-93,1993,1975,1975,2806,Other,Conventional,2½ Bath,ALL,Raleigh,27607
184,0.4,283000,2/16/16,16-Feb,2016,1975,1975,1647,One Story,Conventional,2 Bath,ALL,Raleigh,27607
185,0.61,230000,12/5/06,6-Dec,2006,1975,1975,2720,One Story,Ranch,3 Bath,ALL,Raleigh,27607
186,0.43,68000,1/1/78,Jan-78,1978,1975,1975,2102,Other,Conventional,2½ Bath,ALL,Raleigh,27607
187,0.45,260000,12/12/14,14-Dec,2014,1975,1975,1680,One Story,Conventional,2 Bath,ALL,Raleigh,27607
188,0.43,199000,6/16/99,Jun-99,1999,1975,1975,2999,Other,Conventional,3½ Bath,ALL,Raleigh,27607
198,0.65,180000,9/28/06,6-Sep,2006,1952,1952,2466,One Story,Conventional,3 Bath,ALL,Raleigh,27610
201,0.41,382000,7/9/12,12-Jul,2012,1959,1959,2551,Other,Conventional,2½ Bath,ALL,Raleigh,27607
203,0.14,440000,9/27/13,13-Sep,2013,1920,2015,2490,Other,Conventional,2½ Bath,ALL,Raleigh,27601
204,0.16,168000,8/8/14,14-Aug,2014,1965,1965,1384,One Story,Conventional,2 Bath,ALL,Raleigh,27610
205,0.43,70000,8/12/83,Aug-83,1983,1964,1964,1475,One Story,Split level,2½ Bath,ALL,Raleigh,27609
208,0.16,108000,3/1/16,16-Mar,2016,2006,2006,1352,Other,Conventional,2 Bath,ALL,Raleigh,27601
210,0.11,250000,4/20/21,21-Apr,2021,2020,2020,1527,Other,Conventional,2½ Bath,ALL,Raleigh,27610
211,0.12,355000,3/31/05,5-Mar,2005,1925,1925,1971,One Story,Conventional,2 Bath,ALL,Raleigh,27604
214,0.12,260000,6/12/19,19-Jun,2019,2019,2019,1590,Other,Conventional,2½ Bath,ALL,Raleigh,27610
215,0.17,218000,3/9/16,16-Mar,2016,2013,2013,1296,One Story,Conventional,2 Bath,ALL,Raleigh,27601
217,0.92,170000,11/22/93,Nov-93,1993,1971,1971,4136,Other,Conventional,3 Bath,WSE,Fuquay Varina,27526
220,0.11,4000,1/1/74,Jan-74,1974,1967,1967,1124,One Story,Conventional,1 Bath,WSE,Holly Springs,27540
221,0.17,75000,6/16/21,21-Jun,2021,1953,1953,720,One Story,Conventional,1 Bath,WSE,Holly Springs,27540
222,0.46,215000,1/17/14,14-Jan,2014,1959,1959,2103,One Story,Conventional,2½ Bath,ALL,Raleigh,27606
223,0.1,283000,6/12/20,20-Jun,2020,1980,2019,960,One Story,Conventional,1 Bath,ALL,Raleigh,27610
224,0.1,66000,9/20/01,1-Sep,2001,1980,1980,960,One Story,Conventional,1 Bath,ALL,Raleigh,27610
238,0.15,55000,8/15/14,14-Aug,2014,1949,1949,676,One Story,Conventional,1 Bath,ALL,Raleigh,27608
241,0.11,28800,4/29/13,13-Apr,2013,1930,1930,912,One Story,Conventional,1 Bath,ALL,Raleigh,27610
242,0.15,165000,7/27/11,11-Jul,2011,1925,1925,1146,One Story,Conventional,2½ Bath,ALL,Raleigh,27603
246,2.24,158000,2/14/13,13-Feb,2013,2009,2009,1787,One Story,Conventional,2 Bath,E,Raleigh,27603
248,1.51,174000,5/19/16,16-May,2016,1964,1964,1863,One Story,Split Foyer,1 ½ Bath,GE,Raleigh,27606
250,3,100000,10/3/08,8-Oct,2008,1948,1948,1352,One Story,Conventional,1 Bath,E,Knightdale,27545
251,0.24,27500,1/1/77,Jan-77,1977,1958,1958,1176,One Story,Split level,1 Bath,ALL,Raleigh,27604
253,0.45,125000,4/2/07,7-Apr,2007,1992,1992,1161,One Story,Conventional,2 Bath,E,Knightdale,27545
255,0.33,117000,1/15/04,4-Jan,2004,1959,1959,1050,One Story,Ranch,1 Bath,ALL,Raleigh,27604
256,0.46,110000,12/9/04,4-Dec,2004,1959,1959,1566,One Story,Conventional,1 Bath,ALL,Raleigh,27603
258,0.11,120000,5/24/96,May-96,1996,1930,1930,1226,One Story,Conventional,1 Bath,ALL,Raleigh,27607
261,0.16,434000,3/31/17,17-Mar,2017,1920,1920,1524,Other,Conventional,2½ Bath,ALL,Raleigh,27607
262,0.16,166000,6/25/03,3-Jun,2003,1935,1935,1299,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27607
271,0.92,6000,1/1/80,Jan-80,1980,1983,1983,1494,One Story,Conventional,2 Bath,E,Raleigh,27614
